id,file_size,number_of_sections,size_of_code,size_of_initialized_data,avg_section_entropy,num_imported_dlls,num_imported_functions,has_section_.rsrc,has_section_.reloc,has_dll_USER32.dll,has_dll_KERNEL32.DLL,has_dll_SHELL32.dll,has_dll_ADVAPI32.dll,has_dll_WININET.dll,has_dll_KERNEL32.dll,has_dll_GDI32.dll,has_dll_NETAPI32.dll,has_dll_PSAPI.DLL,has_dll_ntdll.dll,min_entropy,max_entropy,std_entropy,min_section_size,max_section_size,std_section_size,characteristics_271,characteristics_8462
c16f2206815ed7a90cfccbe016de8862,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8586324996503312,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.9193656923349988,-0.8962575203472704,0.8228374098088658,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
cefcce265f853877c15e98e9a562e4c4,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8565530142410808,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.9141094344134085,-0.8962575203472704,0.8180480129407821,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
add869e77de67203223d83da817522b3,-0.48086395718944547,-1.5689290811054721,-0.4772611364574627,1.8925399596208432,0.7592899120848035,0.7484423659198712,-0.2499053481215356,0,0,1,0,1,1,1,1,0,0,0,0,1.1345986230499439,0.3145694726041414,-1.0004759531939957,-0.2585294868833463,-0.4772611364574627,-0.4748083087342426,1,0
3096825c297f40c5a1efeb0afcb745b5,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8565833155726206,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.914185819444657,-0.8962575203472704,0.8181175662183018,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
59b8c35f30004beb1e59088993ef391f,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8641473419905656,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.9333051832799104,-0.8962575203472704,0.8355705826605008,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
3088654f3dd7e874d54f198225615f35,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8510714129138041,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.9002534618561444,-0.8962575203472704,0.8054544524591113,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
14646a12ec63b110c55a2812e3e5a8fc,1.7619258875493837,2.353393621658209,1.6159784405811917,-0.49110432829127976,1.3416412532563096,1.4137244689597568,1.867587010102205,1,1,1,1,0,1,0,0,1,1,1,0,0.7090133323453031,1.6647346279182351,-0.793197407990813,-0.3156630751448593,1.6159784405811917,1.4608145922684166,0,1
715847f07de605e90172dbe8c08bc124,2.172679943392962,0.3922322702763685,2.1612761455240346,-0.4849973647704693,1.5313719100457563,1.4137244689597568,1.936336761992586,0,1,1,1,0,1,0,0,1,1,0,1,1.354252846595583,1.867141854707979,-1.4066149197076117,1.2269438079159916,2.1612761455240346,2.1546477392331758,0,1
6b334b1f058616275cf439dfaf1d5d24,-0.4735939739001786,0.3922322702763685,-0.47223535115845033,0.6373982465279576,0.38237933745940533,-0.5821218401598999,-0.332405050389993,1,0,0,1,1,0,1,0,0,0,0,0,0.4139352419804446,-0.07265956860761073,-0.6940560649787003,-0.3156630751448593,-0.47223535115845033,-0.4707229136677187,1,0
93a4fe29ddd6f4c4d1f79de0059e8053,-0.509943890346513,0.3922322702763685,-0.507415848251537,-0.6235290109530643,-1.0099306660977416,-1.2474039431997854,-0.7174036609761277,1,0,1,1,0,0,0,0,0,0,0,0,-0.9286227827973907,-0.3345062628107224,1.2150611265883873,-0.3727966634063723,-0.507415848251537,-0.5035606224350767,1,0
